timestamp,sensor_value,BotName
2024-11-06T12:34:15.207084,0,0
2024-11-06T12:34:15.207084,0,1
2024-11-06T12:34:15.208086,0,2
2024-11-06T12:34:15.208086,0,3
2024-11-06T12:34:15.208086,1,4
2024-11-06T12:34:15.208086,0,5
2024-11-06T12:34:15.209083,0,6
2024-11-06T12:34:15.209083,0,7
2024-11-06T12:34:15.209083,0,8
2024-11-06T12:34:15.209083,0,9
2024-11-06T12:34:15.210087,1,10
2024-11-06T12:34:15.210087,1,11
2024-11-06T12:34:15.210087,0,12
2024-11-06T12:34:15.211087,0,13
2024-11-06T12:34:15.211087,1,14
2024-11-06T12:34:15.211087,1,15
2024-11-06T12:34:15.211087,1,16
2024-11-06T12:34:15.211087,0,17
2024-11-06T12:34:15.212084,0,18
2024-11-06T12:34:15.212084,0,19
2024-11-06T12:34:15.212084,1,20
2024-11-06T12:34:15.213084,0,21
2024-11-06T12:34:15.213084,0,22
2024-11-06T12:34:15.213084,0,23
2024-11-06T12:34:15.213084,1,24
2024-11-06T12:34:15.214589,0,25
2024-11-06T12:34:15.214589,0,26
2024-11-06T12:34:15.214589,1,27
2024-11-06T12:34:15.214589,0,28
2024-11-06T12:34:15.215594,0,29
2024-11-06T12:34:15.230883,1,0
2024-11-06T12:34:15.231903,0,1
2024-11-06T12:34:15.231903,0,2
2024-11-06T12:34:15.231903,0,3
2024-11-06T12:34:15.231903,1,4
2024-11-06T12:34:15.232909,0,5
2024-11-06T12:34:15.232909,0,6
2024-11-06T12:34:15.232909,0,7
2024-11-06T12:34:15.232909,0,8
2024-11-06T12:34:15.233901,0,9
2024-11-06T12:34:15.233901,1,10
2024-11-06T12:34:15.233901,1,11
2024-11-06T12:34:15.233901,0,12
2024-11-06T12:34:15.234900,0,13
2024-11-06T12:34:15.234900,1,14
2024-11-06T12:34:15.234900,1,15
2024-11-06T12:34:15.235406,1,16
2024-11-06T12:34:15.235406,0,17
2024-11-06T12:34:15.235406,1,18
2024-11-06T12:34:15.235406,0,19
2024-11-06T12:34:15.236413,1,20
2024-11-06T12:34:15.236413,1,21
2024-11-06T12:34:15.236413,0,22
2024-11-06T12:34:15.236413,0,23
2024-11-06T12:34:15.236413,1,24
2024-11-06T12:34:15.237419,0,25
2024-11-06T12:34:15.237419,0,26
2024-11-06T12:34:15.237419,1,27
2024-11-06T12:34:15.237419,1,28
2024-11-06T12:34:15.238419,0,29
2024-11-06T12:34:15.253120,1,0
2024-11-06T12:34:15.253120,0,1
2024-11-06T12:34:15.254142,0,2
2024-11-06T12:34:15.254142,0,3
2024-11-06T12:34:15.254142,1,4
2024-11-06T12:34:15.254142,0,5
2024-11-06T12:34:15.255144,0,6
2024-11-06T12:34:15.255144,0,7
2024-11-06T12:34:15.255144,0,8
2024-11-06T12:34:15.255144,0,9
2024-11-06T12:34:15.255144,1,10
2024-11-06T12:34:15.255144,1,11
2024-11-06T12:34:15.256715,0,12
2024-11-06T12:34:15.256715,0,13
2024-11-06T12:34:15.256715,1,14
2024-11-06T12:34:15.256715,1,15
2024-11-06T12:34:15.256715,1,16
2024-11-06T12:34:15.257552,0,17
2024-11-06T12:34:15.257552,1,18
2024-11-06T12:34:15.257552,0,19
2024-11-06T12:34:15.257552,1,20
2024-11-06T12:34:15.257552,1,21
2024-11-06T12:34:15.258794,0,22
2024-11-06T12:34:15.258794,0,23
2024-11-06T12:34:15.258794,1,24
2024-11-06T12:34:15.258794,0,25
2024-11-06T12:34:15.258794,0,26
2024-11-06T12:34:15.259793,1,27
2024-11-06T12:34:15.259793,1,28
2024-11-06T12:34:15.259793,0,29
2024-11-06T12:34:15.274725,1,0
2024-11-06T12:34:15.274725,1,1
2024-11-06T12:34:15.274725,0,2
2024-11-06T12:34:15.275745,0,3
2024-11-06T12:34:15.275745,1,4
2024-11-06T12:34:15.275745,1,5
2024-11-06T12:34:15.275745,0,6
2024-11-06T12:34:15.276745,0,7
2024-11-06T12:34:15.276745,0,8
2024-11-06T12:34:15.276745,0,9
2024-11-06T12:34:15.276745,1,10
2024-11-06T12:34:15.277751,1,11
2024-11-06T12:34:15.277751,0,12
2024-11-06T12:34:15.277751,1,13
2024-11-06T12:34:15.277751,1,14
2024-11-06T12:34:15.277751,1,15
2024-11-06T12:34:15.278751,1,16
2024-11-06T12:34:15.278751,0,17
2024-11-06T12:34:15.278751,1,18
2024-11-06T12:34:15.278751,0,19
2024-11-06T12:34:15.278751,1,20
2024-11-06T12:34:15.279751,1,21
2024-11-06T12:34:15.279751,0,22
2024-11-06T12:34:15.279751,0,23
2024-11-06T12:34:15.279751,1,24
2024-11-06T12:34:15.280751,0,25
2024-11-06T12:34:15.280751,0,26
2024-11-06T12:34:15.280751,0,27
2024-11-06T12:34:15.280751,1,28
2024-11-06T12:34:15.280751,0,29
2024-11-06T12:34:15.296292,1,0
2024-11-06T12:34:15.296292,1,1
2024-11-06T12:34:15.296292,0,2
2024-11-06T12:34:15.297321,0,3
2024-11-06T12:34:15.297321,0,4
2024-11-06T12:34:15.297321,1,5
2024-11-06T12:34:15.298328,0,6
2024-11-06T12:34:15.298328,0,7
2024-11-06T12:34:15.298328,0,8
2024-11-06T12:34:15.298328,1,9
2024-11-06T12:34:15.298328,1,10
2024-11-06T12:34:15.299328,1,11
2024-11-06T12:34:15.299328,0,12
2024-11-06T12:34:15.299328,1,13
2024-11-06T12:34:15.299328,1,14
2024-11-06T12:34:15.299328,1,15
2024-11-06T12:34:15.300328,1,16
2024-11-06T12:34:15.300328,0,17
2024-11-06T12:34:15.300328,1,18
2024-11-06T12:34:15.300328,0,19
2024-11-06T12:34:15.300328,1,20
2024-11-06T12:34:15.301328,1,21
2024-11-06T12:34:15.301328,0,22
2024-11-06T12:34:15.301328,0,23
2024-11-06T12:34:15.301328,1,24
2024-11-06T12:34:15.302328,0,25
2024-11-06T12:34:15.302328,0,26
2024-11-06T12:34:15.302328,0,27
2024-11-06T12:34:15.302328,1,28
2024-11-06T12:34:15.302328,0,29
2024-11-06T12:34:15.317974,1,0
2024-11-06T12:34:15.317974,1,1
2024-11-06T12:34:15.317974,1,2
2024-11-06T12:34:15.318995,1,3
2024-11-06T12:34:15.318995,0,4
2024-11-06T12:34:15.318995,1,5
2024-11-06T12:34:15.319992,0,6
2024-11-06T12:34:15.319992,0,7
2024-11-06T12:34:15.319992,0,8
2024-11-06T12:34:15.319992,1,9
2024-11-06T12:34:15.319992,1,10
2024-11-06T12:34:15.320993,1,11
2024-11-06T12:34:15.320993,0,12
2024-11-06T12:34:15.320993,1,13
2024-11-06T12:34:15.320993,1,14
2024-11-06T12:34:15.320993,1,15
2024-11-06T12:34:15.321992,1,16
2024-11-06T12:34:15.321992,1,17
2024-11-06T12:34:15.321992,1,18
2024-11-06T12:34:15.321992,0,19
2024-11-06T12:34:15.321992,1,20
2024-11-06T12:34:15.322992,1,21
2024-11-06T12:34:15.322992,0,22
